id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
77;50;01/01/2017;domingo;00:01:00;RO;364;11;VILHENA;Sim;Falta de Atenção à Condução;1;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Curva;Sim;55;Bicicleta;;NA;Condutor;Lesões Leves;41;Masculino;0;1;0;0;-12,74639658;-60,11205912;SR-RO;DEL21/4;UOP01/RO
342;482;01/01/2017;domingo;22:00:00;RS;293;249,3;DOM PEDRITO;Sim;Ingestão de Álcool;1;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Sim;386;Bicicleta;;NA;Condutor;Lesões Leves;47;Masculino;0;1;0;0;-30,97220521;-54,65367589;SR-RS;DEL9/11;UOP01/RS
348;2053;02/01/2017;segunda-feira;05:10:00;SC;101;120,5;ITAJAI;Sim;Ingestão de Álcool;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;1731;Bicicleta;;NA;Condutor;Lesões Leves;59;Masculino;0;1;0;0;-27,19047677;-48,66577104;SR-SC;DEL8/4;UOP04/SC
500;2614;02/01/2017;segunda-feira;15:25:00;MG;365;448,3;GUIMARANIA;Sim;Falta de Atenção à Condução;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Reta;Não;836;Bicicleta;;NA;Condutor;Lesões Leves;NA;Masculino;0;1;0;0;-18,82204587;-46,7873568;SR-MG;DEL4/10;UOP01/MG
598;915;02/01/2017;segunda-feira;16:00:00;MG;262;446,5;NOVA SERRANA;Sim;Ingestão de Álcool;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Interseção de vias;Sim;788;Bicicleta;;NA;Condutor;Lesões Leves;36;Masculino;0;1;0;0;-19,86251484;-45,00099403;SR-MG;DEL4/8;UOP03/MG
605;1580;01/01/2017;domingo;21:10:00;MG;135;597;CORINTO;Sim;Ingestão de Álcool;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;1326;Bicicleta;MONARK/;NA;Condutor;Lesões Graves;38;Masculino;0;0;1;0;-18,55316298;-44,46836103;SR-MG;DEL4/2;UOP01/MG
648;2360;03/01/2017;terça-feira;05:40:00;SC;101;46,4;JOINVILLE;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Dupla;Reta;Sim;920;Bicicleta;;NA;Condutor;Lesões Graves;21;Masculino;0;0;1;0;-26,36361676;-48,85858438;SR-SC;DEL8/3;UOP01/SC
653;1316;03/01/2017;terça-feira;06:30:00;RJ;101;305;SAO GONCALO;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1134;Bicicleta;;NA;Condutor;Lesões Leves;55;Masculino;0;1;0;0;-22,7867;-42,9955;SR-RJ;DEL5/2;UOP02/RJ
690;1146;03/01/2017;terça-feira;09:30:00;PR;369;173;ROLANDIA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Sim;989;Bicicleta;;NA;Condutor;Lesões Leves;31;Masculino;0;1;0;0;-23,3149271;-51,37522459;SR-PR;DEL7/7;UOP01/PR
734;3636;03/01/2017;terça-feira;13:00:00;MG;40;502;ESMERALDAS;Sim;Falta de Atenção à Condução;1;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;2816;Bicicleta;;NA;Condutor;Lesões Leves;51;Masculino;0;1;0;0;-19,718;-44,1574;SR-MG;DEL4/2;UOP01/MG
746;1219;03/01/2017;terça-feira;13:00:00;BA;101;715;EUNAPOLIS;Sim;Falta de Atenção à Condução;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Sim;1078;Bicicleta;;NA;Condutor;Lesões Leves;60;Masculino;0;1;0;0;-16,34916598;-39,58002806;SR-BA;DEL10/9;UOP01/BA
